Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
01011101;Stülerstr.;0,98;8,84;1,34;7,31;0,65;17,12
01011102;Großer Tiergarten;x;x;x;x;x;x
01011103;Lützowstr.;1,39;18,92;1,94;14,25;0,69;36,02
01011104;Körnerstr.;1,24;25,84;1,52;22,68;0,89;35,42
01011105;Nördl. Landwehrkanal;.;2,73;.;.;.;.
01011201;Wilhelmstr.;0,40;4,24;.;1,68;.;14,44
01011202;Unter den Linden Nord;x;x;x;x;x;x
01011203;Unter den Linden Süd;0,47;3,01;.;.;.;.
01011204;Leipziger Str.;0,79;4,77;1,15;3,24;0,29;17,05
01011301;Charitéviertel;0,24;3,69;.;3,59;.;4,35
01011302;Oranienburger Str.;0,72;5,48;0,98;4,90;0,14;9,92
01011303;Alexanderplatzviertel;0,90;8,31;1,32;6,99;0,34;25,23
01011304;Karl-Marx-Allee;0,93;4,63;1,23;3,28;0,54;32,43
01011305;Heine-Viertel West;0,47;2,83;0,70;1,94;0,11;15,45
01011306;Heine-Viertel Ost;0,82;2,68;1,27;1,98;0,18;10,85
01011401;Invalidenstr.;0,38;6,00;0,56;5,73;0,06;8,13
01011402;Arkonaplatz;0,31;5,09;.;4,52;.;10,00
01022101;Huttenkiez;1,53;24,66;1,76;21,29;1,17;31,91
01022102;Beusselkiez;1,77;23,79;2,46;23,06;0,99;24,90
01022103;Westhafen;x;x;x;x;x;x
01022104;Emdener Str.;1,44;15,80;1,80;14,15;0,81;20,26
01022105;Zwinglistr.;1,86;21,18;2,21;17,04;1,35;30,99
01022106;Elberfelder Str.;1,01;7,49;1,21;6,72;0,42;13,50
01022201;Stephankiez;1,23;15,42;1,40;13,81;0,88;19,92
01022202;Heidestr.;0,71;18,11;0,91;17,44;0,54;19,35
01022203;Lübecker Str.;1,68;20,69;1,84;17,24;1,42;27,89
01022204;Thomasiusstr.;1,07;9,22;1,25;7,37;0,70;20,57
01022205;Zillesiedlung;3,19;20,60;4,65;17,49;0,80;33,02
01022206;Lüneburger Str.;0,90;12,57;0,90;10,75;0,93;23,29
01022207;Hansaviertel;0,68;8,83;0,78;6,22;0,56;32,03
01033101;Soldiner Str.;1,75;18,41;2,20;15,45;1,21;24,88
01033102;Gesundbrunnen;1,73;15,37;2,04;12,57;1,31;21,08
01033201;Brunnenstr.;1,77;19,38;1,96;16,25;1,46;27,77
01033202;Humboldthain Süd;1,71;11,86;2,20;10,57;0,98;17,54
01033203;Humboldthain NW;2,33;18,33;3,08;14,79;1,41;26,04
01044101;Rehberge;1,72;12,37;1,99;9,77;1,26;23,63
01044102;Schillerpark;1,75;7,38;2,10;6,42;1,04;15,45
01044103;Westl. Müllerstr.;1,43;16,35;1,91;13,46;0,69;24,55
01044201;Reinickendorfer Str.;2,05;19,74;2,42;17,83;1,65;23,08
01044202;Sparrplatz;1,55;20,05;2,13;17,63;0,80;25,30
01044203;Leopoldplatz;2,39;22,11;3,14;19,24;1,44;28,29
02010101;Askanischer Platz;1,91;23,74;2,56;18,62;1,14;36,11
02010102;Mehringplatz;2,49;25,37;3,14;21,33;1,51;35,33
02010103;Moritzplatz;2,26;18,79;2,52;18,01;1,91;20,26
02010104;Wassertorplatz;2,49;24,92;3,02;21,43;1,66;32,84
02020201;Gleisdreieck/Entwickl.-gebiet;0,61;2,50;.;.;.;.
02020202;Rathaus Yorckstraße;1,48;14,23;1,64;12,57;1,13;19,88
02020203;Viktoriapark;0,75;11,71;0,88;10,83;0,44;16,04
02020204;Urbanstraße;1,15;12,56;1,31;10,50;0,81;20,21
02020205;Chamissokiez;1,19;13,78;1,38;13,19;0,71;15,74
02020206;Graefekiez;1,54;16,48;1,53;13,43;1,55;26,12
02030301;Oranienplatz;2,81;19,78;2,98;22,98;2,54;17,20
02030302;Lausitzer Platz;1,92;21,64;2,10;22,71;1,61;20,03
02030401;Reichenberger Straße;1,86;16,56;2,33;16,65;1,01;16,35
02030402;Wrangelkiez;1,33;15,69;1,60;16,28;0,86;14,94
02040501;Barnimkiez;1,32;2,57;1,66;2,10;0,53;16,98
02040502;Friedenstraße;0,99;4,03;1,24;3,13;0,34;25,00
02040503;Richard-Sorge-Viertel;0,94;3,77;1,05;2,83;0,56;26,92
02040701;Andreasviertel;1,33;6,63;1,62;4,71;0,89;39,86
02040702;Weberwiese;0,90;4,82;1,18;4,43;0,29;14,29
02040703;Wriezener Bahnh./Entwickl.-geb.;0,67;12,50;.;.;.;.
02050601;Hausburgviertel;0,83;9,11;1,09;7,47;0,23;26,67
02050602;Samariterviertel;0,87;9,64;1,02;7,56;0,48;28,57
02050801;Traveplatz;0,91;9,45;1,05;7,02;0,60;30,69
02050802;Boxhagener Platz;0,55;7,12;0,74;5,61;0,11;20,24
02050803;Stralauer Kiez;0,58;7,14;0,78;6,12;0,19;19,05
02050804;Stralauer Halbinsel;1,51;3,35;.;.;.;.
03010101;Bucher Forst;1,74;2,68;1,88;.;0,95;.
03010102;Buch;2,55;2,14;3,13;1,97;0,30;15,38
03010104;Lietzengraben;x;x;x;x;x;x
03020203;Blankenfelde;0,33;.;.;.;.;.
03020209;Niederschönhausen;1,34;2,25;1,45;2,09;0,70;8,45
03020210;Herthaplatz;0,86;2,39;0,94;2,12;0,34;17,14
03020307;Buchholz;0,93;2,76;0,99;2,52;0,30;14,08
03030405;Karow-Nord;1,18;3,10;.;2,82;.;25,00
03030406;Alt-Karow;0,52;0,64;.;.;.;.
03030711;Blankenburg;0,92;0,42;.;.;.;.
03030715;Heinersdorf;0,70;1,76;.;1,54;.;12,50
03030716;Märchenland;.;.;.;.;.;.
03040508;Rosenthal;0,49;2,19;.;.;.;.
03040512;Wilhelmsruh;0,71;2,12;.;1,89;.;14,29
03040513;Schönholz;2,35;2,94;.;.;.;.
03040614;Pankow-Zentrum;0,94;2,56;1,04;2,29;0,26;15,22
03040818;Pankow-Süd;1,03;3,30;1,19;3,03;0,31;14,60
03050919;Gustav-Adolf-Straße;1,12;3,41;.;.;.;.
03050920;Weißer See;1,89;2,65;2,06;.;0,95;.
03050923;Weißenseer Spitze;1,26;4,84;1,49;4,45;0,48;16,67
03050924;Behaimstraße;1,31;7,49;.;.;.;.
03050925;Komp.-viertel Weißensee;1,02;3,57;1,14;2,84;0,44;23,81
03051017;Rennbahnstraße;1,14;3,90;1,20;3,02;0,95;30,00
03051021;Buschallee;1,76;2,95;2,00;2,61;0,56;21,21
03051022;Hansastraße;1,03;1,68;.;.;.;.
03061126;Arnimplatz;0,63;6,04;0,81;5,36;0,15;16,67
03061131;Falkplatz;0,69;6,62;.;6,46;.;7,94
03061227;Humannplatz;0,65;5,02;0,76;4,69;0,24;12,31
03061228;Erich-Weinert-Straße;1,16;5,80;1,38;5,12;0,38;24,62
03061332;Helmholtzplatz;0,84;10,38;1,04;9,62;0,29;16,10
03061429;Greifswalder Straße;1,99;2,21;2,37;1,94;0,41;23,91
03061430;Volkspark Prenzlauer Berg;1,50;3,05;2,37;2,37;0,38;23,08
03061434;Anton-Saefkow-Park;1,23;8,45;1,56;7,29;0,25;21,28
03061435;Conrad-Blenkle-Straße;1,06;5,07;.;3,83;.;30,43
03061441;Eldenaer Straße;0,37;2,67;.;.;.;.
03071536;Teutoburger Platz;0,53;7,07;0,68;6,20;0,19;13,64
03071537;Kollwitzplatz;0,46;7,15;0,61;6,95;0,09;8,66
03071633;Thälmannpark;2,19;5,97;2,82;5,18;0,67;33,33
03071638;Winsstraße;0,59;5,90;0,76;5,55;0,12;9,90
03071639;Bötzowstraße;0,91;5,48;1,08;4,92;0,30;13,24
04010101;Jungfernheide;1,97;11,39;2,43;10,19;1,19;20,29
04010102;Plötzensee;x;x;x;x;x;x
04010103;Paul-Hertz-Siedlung;1,94;14,78;2,24;10,68;1,37;42,45
04020204;Olympiagelände;x;x;x;x;x;x
